
2018-12-17 18:30:47: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 5, Offline for 0m)
2018-12-17 18:31:02: Dyn (216.146.36.36) says you are OFFLINE (failure 6, Offline for 1m)
2018-12-17 18:34:45: OpenNIC (172.98.193.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 18:38:48: puntCAT (109.69.8.51) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 18:39:03: Neustar (156.154.70.1) says you are OFFLINE (failure 2, Offline for 0m)
2018-12-17 18:43:21: DNS Watch (84.200.69.80) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 19:45:57: SafeDNS (195.46.39.39) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 20:34:44: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 20:40:39: Comodo Secure DNS (8.26.56.26) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 20:53:58: OpenDNS Home (208.67.220.220) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:11:52: Hurricane Electric (74.82.42.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:14:19: Dyn (216.146.36.36) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:14:44: OpenNIC (172.98.193.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:15:43: Neustar (156.154.70.1) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:15:58: CleanBrowsing (185.228.169.9) says you are OFFLINE (failure 2, Offline for 0m)
2018-12-18 21:18:17: OpenNIC (172.98.193.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:19:45: Verisign (64.6.64.6) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:26:22: Verisign (64.6.64.6) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:34:47: OpenNIC (198.206.14.241) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:49:41: DNS Watch (84.200.70.40) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 21:52:53: Quad (149.112.112.112) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 22:12:20: Verisign (64.6.64.6) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 22:17:15: Dyn (216.146.35.35) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 23:04:43: Verisign (64.6.64.6) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 00:07:31: FreeDNS (45.33.97.5) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-18 00:25:02: puntCAT (109.69.8.51) says you are OFFLINE (failure 1, Offline for 0m)
[2018-12-18 02:04:51]| ~Dyn|~216.146.35.35^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 02:16:30]| Neustar|156.154.70.1 says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 02:25:43]| ~CleanBrowsing|~185.228.169.9^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 02:37:49]| Alternate DNS|198.101.242.72 says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 02:41:09]| Alternate DNS|198.101.242.72 says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 03:26:09]| ~OpenNIC|~172.98.193.42^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 03:48:05]| ~Alternate DNS|~198.101.242.72^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 04:27:54]| ~Neustar|~156.154.71.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 07:55:07]| ~OpenNIC|~172.98.193.42^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 09:05:27]| ~OpenNIC|~172.98.193.42^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 09:45:52]| ~Comodo Secure DNS|~8.20.247.20^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 10:09:39]| ~OpenNIC|~172.98.193.42^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 10:21:39]| ~OpenDNS Home|~208.67.220.220^ says you are| (OFFLINE -- failure 1, Offline for 0m)
